项目ID,迭代ID,迭代名称,日期,理想剩余点数,实际剩余点数,新增范围点数,当日完成点数,阻塞点数,备注
PRJ-001,SPR-001,"Sprint 1 - 模版匹配稳定性",2026-04-15,28,28,0,0,0,"迭代开始"
PRJ-001,SPR-001,"Sprint 1 - 模版匹配稳定性",2026-04-16,26,27,1,2,0,"新增1点范围"
PRJ-001,SPR-001,"Sprint 1 - 模版匹配稳定性",2026-04-17,24,25,0,2,1,"存在阻塞"
PRJ-001,SPR-001,"Sprint 1 - 模版匹配稳定性",2026-04-18,22,23,0,2,1,"阻塞未解除"
PRJ-001,SPR-001,"Sprint 1 - 模版匹配稳定性",2026-04-19,20,21,0,2,0,"阻塞解除"
PRJ-001,SPR-001,"Sprint 1 - 模版匹配稳定性",2026-04-20,18,19,0,2,0,"稳定推进"
PRJ-001,SPR-001,"Sprint 1 - 模版匹配稳定性",2026-04-21,16,17,0,2,0,"稳定推进"
PRJ-001,SPR-001,"Sprint 1 - 模版匹配稳定性",2026-04-22,14,15,0,2,0,"开始验收准备"
PRJ-001,SPR-001,"Sprint 1 - 模版匹配稳定性",2026-04-23,12,12,0,3,0,"进度追平理想线"
PRJ-001,SPR-001,"Sprint 1 - 模版匹配稳定性",2026-04-24,10,10,0,2,0,"按计划推进"
PRJ-001,SPR-001,"Sprint 1 - 模版匹配稳定性",2026-04-25,8,8,0,2,0,"按计划推进"
PRJ-001,SPR-001,"Sprint 1 - 模版匹配稳定性",2026-04-26,6,6,0,2,0,"按计划推进"
PRJ-001,SPR-001,"Sprint 1 - 模版匹配稳定性",2026-04-27,4,3,0,3,0,"超前推进"
PRJ-001,SPR-001,"Sprint 1 - 模版匹配稳定性",2026-04-28,0,0,0,3,0,"迭代结束"
