任务ID,任务标题,任务分类,所属项目,需求ID,任务状态,优先级,执行人,协作人,进度百分比,故事点,预估工时,剩余工时,开始日期,截止日期,完成日期,阻塞原因,下一步动作,备注
TASK-GROUP-001,项目分组：模版匹配工具,项目分组,模版匹配工具,,进行中,P0,,,,,,,,,,,用于按项目分隔显示,
TASK-001,模板版本识别规则开发,项目任务,模版匹配工具,REQ-001,进行中,P0,技术A,技术B,65,5,16,6,2026-04-15,2026-04-20,,,完成边界条件与异常样本回归,
TASK-002,别名字典配置页,项目任务,模版匹配工具,REQ-002,待开始,P1,技术B,技术A,0,3,12,12,2026-04-18,2026-04-24,,等待字段别名清单确认,确认清单后开始前后端联调,
TASK-003,客户样本回收与标注,项目任务,模版匹配工具,REQ-001,进行中,P1,市场A,老板,70,2,8,2,2026-04-15,2026-04-19,,,补齐3个高频模板样本,
TASK-004,识别结果验收,项目任务,模版匹配工具,REQ-001,待开始,P1,老板,市场B,0,2,6,6,2026-04-22,2026-04-24,,依赖开发项完成,准备验收清单和通过标准,
TASK-005,线索导入字段标准定义,项目任务,市场线索自动整理,REQ-003,进行中,P0,市场A,市场B,40,2,6,4,2026-04-20,2026-04-23,,,冻结V1字段标准,
TASK-006,导入模板与校验规则配置,项目任务,市场线索自动整理,REQ-003,待开始,P1,技术B,市场A,0,3,10,10,2026-04-23,2026-04-28,,依赖字段标准冻结,完成导入校验规则,
TASK-007,整理今日客户反馈,日常待办,,,待开始,P1,市场A,,0,0,2,2,2026-04-13,2026-04-13,,,完成反馈归类并同步群内,
TASK-008,回顾昨日阻塞项,日常待办,,,待开始,P1,技术A,,0,0,1,1,2026-04-13,2026-04-13,,,确认每个阻塞的责任人与时间,
TASK-009,输入资料包规范文档与校验清单落地,项目任务,模版匹配工具,REQ-004,进行中,P0,技术A,技术B,30,2,6,4,2026-04-15,2026-04-16,,,输出接入规范文档并绑定验收项,
TASK-010,steel-cylinder-v1字段五类类型映射整理,项目任务,模版匹配工具,REQ-005,进行中,P0,技术A,老板,55,3,8,4,2026-04-15,2026-04-17,,,联调检验员/审核员签名名->jpg预览与勾选字段显示验收,已完成输入侧类型渲染首版
TASK-011,输出资料包占位规则与字段来源定义,项目任务,模版匹配工具,REQ-006,待开始,P0,技术B,技术A,0,3,8,8,2026-04-16,2026-04-18,,依赖TASK-010类型映射完成,定义output manifest/template/rules与占位映射,
TASK-012,多选记录导出数据源范围控制（含附表明细）,项目任务,模版匹配工具,REQ-006,待开始,P0,技术B,技术A,0,3,10,10,2026-04-17,2026-04-20,,依赖TASK-011规则定义完成,实现仅使用选中记录作为导出数据源,
TASK-013,OCR与四字段字典协同归一实现（含严格模式开关）,项目任务,模版匹配工具,REQ-007,进行中,P0,技术A,技术B,35,3,8,5,2026-04-15,2026-04-17,,,保持OCR主链路，字典仅辅助归一并可配置严格模式,
TASK-014,模板包API规范化核对与缺口清单,项目任务,模版匹配工具,REQ-008,进行中,P0,技术B,技术A,30,2,6,4,2026-04-15,2026-04-16,,,核对输入/输出bundle API是否去写死并给出缺口方案,
