任务,所属项目,优先级,状态,开始时间,截止时间,实际完成时间,任务执行人
【SP3/6h】确认需求边界与验收口径,模版匹配工具,P0,已完成,2026/04/13,2026/04/13,2026/04/13,老板
【SP2/4h】需求池字段与状态字典统一,模版匹配工具,P0,已完成,2026/04/13,2026/04/13,2026/04/13,技术A
【SP5/16h】模板版本识别规则开发,模版匹配工具,P0,进行中,2026/04/15,2026/04/20,,技术A
【SP3/10h】模板版本识别接口联调,模版匹配工具,P0,未开始,2026/04/20,2026/04/23,,技术B
【SP3/12h】别名字典配置页开发,模版匹配工具,P1,未开始,2026/04/18,2026/04/24,,技术B
【SP2/8h】客户样本回收与标注,模版匹配工具,P1,进行中,2026/04/15,2026/04/19,,市场A
【SP2/6h】识别结果验收用例准备与评审,模版匹配工具,P1,未开始,2026/04/22,2026/04/24,,老板
【SP2/6h】线上灰度样本验证与记录,模版匹配工具,P1,未开始,2026/04/24,2026/04/26,,技术A
【SP2/6h】线索导入字段标准定义,市场线索自动整理,P0,进行中,2026/04/20,2026/04/23,,市场A
【SP3/10h】导入模板与校验规则配置,市场线索自动整理,P1,未开始,2026/04/23,2026/04/28,,技术B
【SP2/4h】项目库与工作进度字段清理,任务中心重构,P0,已完成,2026/04/13,2026/04/13,2026/04/13,技术A
【SP2/4h】单表任务中心视图重构,任务中心重构,P0,已完成,2026/04/13,2026/04/13,2026/04/13,技术A
【SP1/2h】按项目分组行设计与验证,任务中心重构,P1,已完成,2026/04/13,2026/04/13,2026/04/13,技术A
【SP1/2h】高频阻塞项归类并同步,模版匹配工具,P1,进行中,2026/04/13,2026/04/16,,市场B
【SP1/2h】周度优先级复核与排期调整,模版匹配工具,P1,未开始,2026/04/17,2026/04/17,,老板
